rule_id,frag_from,frag_to,chemotype_from,chemotype_to,radius,env_id,n_pairs_env,n_pairs_global,context_chemotypes,context_example,n_props_sign_flip_vs_global,mean_d_Hf,z_Hf,mean_d_Q,z_Q,mean_d_OBgood,z_OBgood,mean_d_Pe,z_Pe,mean_d_D,z_D,mean_d_P,z_P,mean_d_IS,z_IS
28,[*:1]c1nnn([*:2])n1,[*:2]c1nnnn1[*:1],azole_ring,azole_ring,2,89747877,18,2457,nitramine:18;nitro:18;azole_ring:18;hydroxyl:10,[*:2]N[N+](=O)[O-].[*:1]c1c(C)nc(N=[N+]=[N-])n1N[N+](=O)[O-],5,-8.29056,-0.165276,-29.0761,-0.191269,0,0,-0.0204,-0.259001,-0.0526277,-0.11706,-0.408597,-0.110654,23.3519,0.228353
64,[*:1]Nc1nnn([*:2])n1,[*:1]Nn1nnc([*:2])n1,azole_ring,azole_ring,2,17036653,16,550,azole_ring:16;amino:16;nitro:9;hydroxyl:6,[*:2]N.[*:1]Nn1c(N)cnc1C,5,-4.20313,-0.0837914,-17.8811,-0.117625,0,0,-0.016275,-0.206629,-0.0399021,-0.0887543,-0.276289,-0.0748228,-15.2848,-0.149467
64,[*:1]Nc1nnn([*:2])n1,[*:1]Nn1nnc([*:2])n1,azole_ring,azole_ring,2,45014372,15,550,azoxy:15;nitro:15;azole_ring:15;nitramine:6,[*:2]N=[N+]([O-])n1c(C)nc(C)c1C.[*:1][N+](=O)[O-],5,-1.90267,-0.0379306,-5.81022,-0.0382208,0,0,-0.00408,-0.0518001,-0.00156515,-0.00348136,-5.71325e-05,-1.54722e-05,-16.0019,-0.15648
28,[*:1]c1nnn([*:2])n1,[*:2]c1nnnn1[*:1],azole_ring,azole_ring,2,17964282,14,2457,azole_ring:14;amino:14;nitro:10;nitramine:6,[*:2]N.[*:1]c1c(C)c(N=[N+]=[N-])nn1N[N+](=O)[O-],5,-14.1643,-0.282372,-58.9858,-0.388021,0,0,-0.0454143,-0.576585,-0.126473,-0.281313,-0.919654,-0.249055,93.4544,0.913873
28,[*:1]c1nnn([*:2])n1,[*:2]c1nnnn1[*:1],azole_ring,azole_ring,2,1948417,13,2457,azoxy:13;azole_ring:13;nitro:8;hydroxyl:5,[*:1]C.[*:2]N=[N+]([O-])n1c(N[N+](=O)[O-])cnc1O,5,-15.9254,-0.31748,-60.7596,-0.399689,0,0,-0.0456154,-0.579138,-0.0519905,-0.115642,-0.230491,-0.0624201,17.1409,0.167618
28,[*:1]c1nnn([*:2])n1,[*:2]c1nnnn1[*:1],azole_ring,azole_ring,2,17492752,13,2457,azoxy:13;azole_ring:13;amino:13;nitro:8,[*:2]N.[*:1][N+]([O-])=Nc1c(C)nn(C)c1O,5,-6.47308,-0.129044,-23.2677,-0.15306,0,0,-0.0175615,-0.222963,-0.0202136,-0.044961,-0.0881148,-0.0238627,41.3048,0.403911
28,[*:1]c1nnn([*:2])n1,[*:2]c1nnnn1[*:1],azole_ring,azole_ring,2,18405689,12,2457,azole_ring:12;amino:12;nitro:8;hydroxyl:4,[*:2]N.[*:1]c1nc(C)c(C)n1N=[N+]=[N-],5,-19.7742,-0.394208,-89.576,-0.58925,0,0,-0.07265,-0.922372,-0.121028,-0.269202,-0.615083,-0.166573,8.77681,0.0858267
11,[*:1]c1nnnn1[*:2],[*:2]c1nnnn1[*:1],azole_ring,azole_ring,2,1945481,10,1293,azoxy:10;azole_ring:10;nitro:5;amino:4,[*:1]C.[*:2]N=[N+]([O-])n1c(C)nnc1N[N+](=O)[O-],5,-16.44,-0.327739,-63.786,-0.419598,0,0,-0.04887,-0.620459,-0.0608511,-0.135351,-0.286355,-0.0775489,-5.81861,-0.056899
28,[*:1]c1nnn([*:2])n1,[*:2]c1nnnn1[*:1],azole_ring,azole_ring,2,9935822,9,2457,azole_ring:9;azide:5;nitro:5;amino:4,[*:1]C.[*:2]n1nc(N)c(N=[N+]=[N-])c1N[N+](=O)[O-],5,-18.3011,-0.364842,-80.7799,-0.531387,0,0,-0.0618778,-0.785607,-0.056241,-0.125097,-0.130435,-0.0353235,6.20093,0.0606377
3587,[*:1]c1nc(C)n([*:2])n1,[*:1]c1nnn(C)c1[*:2],azole_ring,azole_ring,2,42754165,9,449,azide:9;azoxy:9;azole_ring:9;nitro:4,[*:1]N=[N+]([O-])c1c(C)nnn1C.[*:2]N=[N+]=[N-],5,-4.74222,-0.0945385,-16.8883,-0.111095,0,0,-0.0126556,-0.160676,-0.00114009,-0.00253589,0.0730322,0.0197781,-9.92006,-0.0970063
