fragment,chemotype,layer,n_attach,frag_heavy,n_total_pairs,n_contexts,A_Hf,s_Hf,n_Hf,fpos_Hf,t_Hf,A_Q,s_Q,n_Q,fpos_Q,t_Q,A_OBgood,s_OBgood,n_OBgood,fpos_OBgood,t_OBgood,A_Pe,s_Pe,n_Pe,fpos_Pe,t_Pe,A_D,s_D,n_D,fpos_D,t_D,A_P,s_P,n_P,fpos_P,t_P,A_IS,s_IS,n_IS,fpos_IS,t_IS
[*:1]c1nnc(O)n1[*:2],azole_ring,linker,2,6,33759,2980,-51.0289,36.1273,33759,0.0330875,-259.523,-70.5576,112.927,33759,0.291596,-114.8,2.05191,13.0341,33759,0.440297,28.9249,-0.0680233,0.0612252,33759,0.14405,-204.137,-0.0447056,0.335469,33759,0.418792,-24.4852,-0.0664004,2.74303,33759,0.462573,-4.4477,12.4684,97.9672,33759,0.561658,23.3843
[*:1]C,other,substituent,1,1,33337,23886,-21.8555,34.8918,33337,0.148634,-114.367,-146.549,110.581,33337,0.0266971,-241.974,-26.9863,11.5837,33337,0,-425.363,-0.0595825,0.0519592,33337,0.0900501,-209.372,-0.676105,0.257751,33337,0,-478.935,-5.60967,2.11335,33337,0,-484.651,48.4171,107.392,33337,0.72484,82.3172
[*:1]c1nncn1[*:2],azole_ring,linker,2,5,32941,2950,-10.1434,36.499,32941,0.427734,-50.4397,-31.4343,118.527,32941,0.4189,-48.1342,-8.01474,13.4009,32941,0.208737,-108.549,-0.0140328,0.0624748,32941,0.400322,-40.7668,-0.187538,0.337192,32941,0.237364,-100.944,-1.63027,2.727,32941,0.221699,-108.504,37.7563,104.284,32941,0.66267,65.7113
[*:1]c1nnc([N+](=O)[O-])n1[*:2],nitro,linker,2,8,32893,2935,-1.56358,36.4005,32893,0.570821,-7.79048,128.125,121.417,32893,0.879214,191.384,15.6201,13.4693,32893,0.838324,210.324,0.0368575,0.0615051,32893,0.695254,108.684,0.366796,0.335188,32893,0.866689,198.467,3.15076,2.74376,32893,0.876144,208.267,-31.755,94.3435,32893,0.329857,-61.0452
[*:1]c1nnc(N[N+](=O)[O-])n1[*:2],nitramine,linker,2,9,32581,2847,4.23458,36.5557,32581,0.662411,20.9092,82.7106,117.25,32581,0.693687,127.329,14.3068,13.2944,32581,0.748258,194.248,0.0414727,0.0593488,32581,0.728584,126.134,0.352388,0.328579,32581,0.844818,193.581,2.99135,2.6987,32581,0.852368,200.076,-33.9263,94.1065,32581,0.332863,-65.0727
[*:1]N[N+](=O)[O-],nitramine,substituent,1,4,32305,23978,9.74033,35.1444,32305,0.845411,49.8141,120.085,120.235,32305,0.805943,179.511,18.5601,14.2578,32305,0.855595,233.971,0.0630135,0.0515989,32305,0.931775,219.497,0.465579,0.327692,32305,0.907507,255.366,3.8664,2.65185,32305,0.901161,262.055,-47.1542,91.9328,32305,0.256462,-92.1902
[*:1]N,amino,substituent,1,1,32143,23036,-8.35321,36.8138,32143,0.442056,-40.6805,-107.378,113.821,32143,0.191519,-169.136,-7.86439,14.96,32143,0.278661,-94.2491,-0.0191604,0.0554361,32143,0.388452,-61.9663,-0.0980375,0.366838,32143,0.361914,-47.9138,-0.806537,3.01822,32143,0.351803,-47.909,20.5826,89.1295,32143,0.622313,41.402
[*:1]c1nnn([*:2])c1C,azole_ring,linker,2,6,31851,2959,-12.6349,36.4383,31851,0.38746,-61.8838,-98.9026,119.764,31851,0.228815,-147.382,-23.7617,13.2328,31851,0,-320.471,-0.0298385,0.0631108,31851,0.313742,-84.379,-0.554908,0.331643,31851,0.108442,-298.615,-4.73998,2.73069,31851,0.103419,-309.789,40.8184,108.609,31851,0.674987,67.0736
[*:1]N=[N+]=[N-],azide,substituent,1,3,31665,23212,86.7938,17.9063,31665,1,862.529,74.0335,110.703,31665,0.682868,119.003,4.85958,14.6917,31665,0.620685,58.8594,0.0420272,0.0530241,31665,0.748524,141.042,0.111708,0.35653,31665,0.636349,55.7543,0.615322,2.93115,31665,0.603916,37.3555,13.1949,92.0557,31665,0.571577,25.5062
[*:1]c1nnn([*:2])c1N,azole_ring,linker,2,6,31341,2988,-3.46106,37.398,31341,0.548866,-16.3839,-73.6073,117.23,31341,0.300629,-111.157,-7.7165,13.0473,31341,0.201653,-104.702,-0.0011231,0.0631531,31341,0.47583,-3.14832,-0.0655326,0.331796,31341,0.389649,-34.9658,-0.595507,2.6946,31341,0.380556,-39.1246,19.0759,94.8387,31341,0.601385,35.6087
