pair_id,candidate_id,neighbor_id,context_smiles,candidate_frag,neighbor_frag,d_Hf,d_Q,d_OBgood,d_Pe,d_D,d_P,d_IS,d_nu
201083370,cand_009,cand_037,[*:2][N+](=O)[O-].[*:1]c1nnnn1N[N+](=O)[O-],[*:1]/N=[N+](/[O-])c1nnnn1N[*:2],[*:1]NNn1nnnc1[*:2],-32.5161,-82.7182,-8.78702,-0.0322,-0.192195,-1.8066,0.0458,
201083370,cand_037,cand_009,[*:2][N+](=O)[O-].[*:1]c1nnnn1N[N+](=O)[O-],[*:1]NNn1nnnc1[*:2],[*:1]/N=[N+](/[O-])c1nnnn1N[*:2],32.5161,82.7182,8.78702,0.0322,0.192195,1.8066,-0.0458,
198568062,cand_011,cand_014,[*:2][N+](=O)[O-].[*:1]c1nnnn1N=[N+]=[N-],[*:1]/N=[N+](/[O-])n1nnnc1N[*:2],[*:2]Nn1nnc(/N=[N+](\[*:1])[O-])n1,-2.83572,-10.0156,0,-0.0073,-0.00327222,0.00704547,-5.5696,
198568062,cand_014,cand_011,[*:2][N+](=O)[O-].[*:1]c1nnnn1N=[N+]=[N-],[*:2]Nn1nnc(/N=[N+](\[*:1])[O-])n1,[*:1]/N=[N+](/[O-])n1nnnc1N[*:2],2.83572,10.0156,0,0.0073,0.00327222,-0.00704547,5.5696,
219748722,cand_017,cand_040,[*:2][N+](=O)[O-].[*:1]n1nnc(N[N+](=O)[O-])n1,[*:1]/N=[N+](/[O-])n1nnnc1N[*:2],[*:2]Nn1nnc(/N=[N+](\[*:1])[O-])n1,-2.51443,-8.32235,0,-0.0062,-0.0593658,-0.672337,-0.1001,
219748722,cand_040,cand_017,[*:2][N+](=O)[O-].[*:1]n1nnc(N[N+](=O)[O-])n1,[*:2]Nn1nnc(/N=[N+](\[*:1])[O-])n1,[*:1]/N=[N+](/[O-])n1nnnc1N[*:2],2.51443,8.32235,0,0.0062,0.0593658,0.672337,0.1001,
231693126,cand_002,cand_026,[*:2][N+](=O)[O-].[*:1]n1nnnc1N[N+](=O)[O-],[*:1]/N=[N+](/[O-])n1nnnc1N[*:2],[*:2]Nn1nnc(/N=[N+](\[*:1])[O-])n1,-4.69691,-15.546,0,-0.0116,-0.104856,-1.21441,-0.3694,
231693126,cand_026,cand_002,[*:2][N+](=O)[O-].[*:1]n1nnnc1N[N+](=O)[O-],[*:2]Nn1nnc(/N=[N+](\[*:1])[O-])n1,[*:1]/N=[N+](/[O-])n1nnnc1N[*:2],4.69691,15.546,0,0.0116,0.104856,1.21441,0.3694,
198568080,cand_011,cand_032,[*:2][N+](=O)[O-].[*:1]c1nnnn1N=[N+]=[N-],[*:1]/N=[N+](/[O-])n1nnnc1N[*:2],[*:2]n1nnc(/N=[N+](\[*:1])[O-])n1,-13.6111,30.0959,2.50897,-0.0176,-0.00931775,-0.0796173,12.8178,
198568080,cand_032,cand_011,[*:2][N+](=O)[O-].[*:1]c1nnnn1N=[N+]=[N-],[*:2]n1nnc(/N=[N+](\[*:1])[O-])n1,[*:1]/N=[N+](/[O-])n1nnnc1N[*:2],13.6111,-30.0959,-2.50897,0.0176,0.00931775,0.0796173,-12.8178,
198568086,cand_011,cand_050,[*:2][N+](=O)[O-].[*:1]c1nnnn1N=[N+]=[N-],[*:1]/N=[N+](/[O-])n1nnnc1N[*:2],[*:1]NNn1nnnc1[*:2],-29.6264,-74.8005,-10.4113,-0.0247,-0.291331,-2.91842,2.484,
198568086,cand_050,cand_011,[*:2][N+](=O)[O-].[*:1]c1nnnn1N=[N+]=[N-],[*:1]NNn1nnnc1[*:2],[*:1]/N=[N+](/[O-])n1nnnc1N[*:2],29.6264,74.8005,10.4113,0.0247,0.291331,2.91842,-2.484,
